loan_id,customer_id,disbursement_date,loan_amount,status
134,617,2024-11-28,15738.11,active
135,472,2024-06-13,10050.96,active
136,24,2023-03-10,7206.21,active
137,992,2024-03-12,6441.25,active
138,374,2025-02-19,250.18,default
139,323,2023-06-11,14323.11,active
140,603,2025-04-28,10230.81,closed
141,555,2022-12-04,2633.42,active
142,770,2024-05-07,3858.56,active
143,698,2023-05-02,12015.12,active
144,291,2025-09-20,5323.0,closed
145,647,2025-08-27,9804.19,active
146,980,2024-03-20,2015.06,default
147,333,2023-05-29,8394.17,default
148,592,2024-08-13,10904.82,active
149,928,2025-08-08,1694.51,closed
150,449,2025-04-24,10580.8,active
151,889,2024-01-29,4123.4,active
152,147,2024-02-20,12470.75,closed
153,187,2023-02-23,16279.18,active
154,794,2023-05-17,13326.3,closed
155,18,2023-12-22,8228.82,closed
156,625,2025-07-28,5089.96,active
157,739,2024-07-05,65.25,closed
158,518,2023-09-13,22524.18,active
159,702,2024-05-22,78.51,active
160,300,2023-01-31,4849.41,active
161,323,2023-11-27,2564.06,active
162,919,2023-09-05,5558.81,active
163,57,2024-11-29,16147.4,active
164,646,2025-09-04,2849.62,closed
165,193,2025-08-21,6767.94,active
166,742,2023-11-29,14360.2,active
167,162,2024-12-31,8131.46,active
168,396,2023-11-20,14719.61,active
169,448,2023-05-19,9948.24,closed
170,1000,2025-03-16,14113.1,active
171,41,2022-11-09,8408.16,active
172,416,2024-02-27,15500.1,active
173,733,2024-08-14,13366.25,active
174,207,2023-01-08,10122.1,closed
175,161,2024-09-15,9645.54,closed
176,676,2024-11-14,12323.57,active
177,7,2025-09-25,12495.99,active
178,548,2024-09-30,795.44,active
179,79,2025-07-12,12599.35,active
180,570,2023-01-03,13153.2,active
181,479,2022-11-26,8325.28,active
182,870,2023-10-26,4809.81,active
183,18,2024-02-04,4164.83,active
184,163,2025-08-12,7150.91,closed
185,235,2024-06-27,3381.49,active
186,84,2023-09-13,7629.95,closed
187,41,2023-11-05,8474.8,active
188,215,2024-07-06,8035.0,active
189,217,2024-07-18,7130.52,closed
190,449,2024-11-18,6827.54,active
191,944,2024-10-02,9819.58,closed
192,477,2025-03-19,18339.29,closed
193,226,2023-07-09,14967.52,closed
194,106,2025-08-05,12948.47,active
195,823,2024-06-15,16230.34,active
196,963,2024-12-31,7146.97,active
197,648,2023-11-26,11070.12,active
198,905,2024-07-20,7477.75,active
199,852,2024-02-28,10635.65,active
200,357,2024-02-24,16288.51,active
201,274,2023-02-09,11337.96,closed
202,445,2022-12-04,9779.45,active
203,88,2024-01-22,6762.33,active
204,75,2025-06-07,12945.15,closed
205,559,2025-03-13,9356.45,active
206,753,2024-07-01,4527.83,active
207,472,2024-10-15,6601.04,active
208,148,2025-05-07,9763.95,active
209,296,2024-12-15,15542.48,closed
210,881,2024-04-22,8364.42,active
211,186,2023-10-26,8717.49,closed
212,688,2025-04-26,2335.43,active
213,981,2023-02-28,13343.05,active
214,492,2023-01-25,6151.92,active
215,860,2024-01-15,16527.26,active
216,978,2023-10-23,18162.45,active
217,160,2024-10-16,15738.58,active
218,63,2023-03-19,13243.94,closed
219,395,2023-11-02,12129.14,active
220,670,2023-02-17,5502.33,closed
221,943,2023-01-17,14197.8,closed
222,296,2024-06-16,8562.51,active
223,976,2023-09-24,12811.76,closed
224,619,2023-09-29,11279.44,default
225,409,2024-04-07,10527.16,active
226,218,2024-01-10,13987.6,active
227,224,2023-04-30,11867.7,active
228,955,2025-01-09,10023.66,closed
229,792,2025-02-20,21378.85,active
230,325,2023-05-31,11375.94,active
231,393,2024-04-07,4877.46,active
232,844,2023-07-09,2805.45,active
233,45,2025-09-25,11774.0,default
234,677,2024-08-27,6346.08,active
235,656,2025-05-16,12244.38,active
236,575,2023-08-19,10093.86,active
237,363,2022-10-13,4654.88,active
238,841,2023-07-02,13733.82,active
239,145,2025-10-01,8757.07,active
240,589,2024-07-12,14207.69,closed
241,622,2024-12-12,13909.52,closed
242,642,2024-12-12,16283.63,active
243,261,2025-06-19,9762.11,closed
244,907,2022-11-20,44.66,active
245,770,2023-05-20,6310.72,active
246,862,2025-04-10,7093.05,active
247,474,2025-05-10,10311.22,closed
248,167,2025-06-04,15466.92,active
249,655,2025-02-22,7736.51,active
250,408,2024-12-02,12920.45,active
251,277,2024-10-10,13317.82,closed
252,436,2025-09-02,11524.34,default
253,250,2024-02-04,2752.41,closed
254,58,2022-10-21,2640.63,active
255,623,2025-09-22,3212.52,closed
256,863,2024-05-18,19219.22,closed
257,697,2023-02-04,18730.53,active
258,794,2023-09-19,11518.21,active
259,53,2025-02-24,5608.89,closed
260,280,2022-11-01,14094.38,closed
261,38,2025-08-02,3928.82,active
262,855,2023-11-15,13465.06,active
263,307,2024-02-19,11085.1,active
264,994,2023-11-13,9383.7,active
265,694,2023-11-30,6925.93,closed
266,273,2025-10-01,3091.6,active
267,186,2024-01-12,5485.46,active
268,738,2023-04-18,15340.91,active
269,954,2023-03-12,5295.45,active
270,244,2025-08-28,3206.92,active
271,591,2025-08-14,18166.06,active
272,428,2024-06-05,18042.01,active
273,79,2024-04-06,6366.72,active
274,740,2023-01-19,10694.33,active
275,742,2023-04-19,12973.75,active
276,125,2024-12-14,5455.73,active
277,367,2023-04-23,13128.46,active
278,252,2023-05-19,11205.4,active
279,569,2025-03-08,12238.47,active
280,820,2025-03-09,7891.12,active
281,936,2022-10-29,11988.72,active
282,593,2022-10-22,4833.92,active
283,901,2022-12-25,10818.68,closed
284,661,2025-07-21,8223.14,active
285,819,2024-07-10,6016.73,active
286,20,2024-05-18,16213.37,active
287,389,2025-09-14,4736.88,active
288,385,2025-05-08,14465.94,active
289,953,2023-08-30,13413.26,closed
290,160,2024-09-28,15035.98,active
291,576,2024-10-24,6123.38,active
292,158,2024-03-26,8549.62,active
293,801,2023-01-09,9307.09,active
294,445,2023-10-08,11810.46,default
295,883,2023-05-07,10507.0,closed
296,548,2022-11-30,3185.33,closed
297,375,2024-12-12,6240.29,active
298,20,2024-07-26,7341.91,active
299,894,2024-05-13,8305.9,active
300,283,2025-09-24,8733.78,active
