txn_id,customer_id,txn_date,amount,txn_type,channel,branch_id
54,983,2024-08-31,2554.61,transfer,branch,18
55,154,2024-08-19,1013.08,deposit,atm,11
56,245,2024-02-14,3580.35,payment,branch,2
57,247,2024-01-15,3259.98,withdraw,online,4
58,495,2024-01-02,1618.66,withdraw,mobile,11
59,39,2023-10-25,2674.78,payment,mobile,5
60,74,2023-12-29,2500.72,payment,mobile,10
61,255,2025-02-14,499.51,payment,online,2
62,567,2024-11-07,2725.42,payment,online,5
63,155,2024-04-22,1976.3,deposit,mobile,10
64,740,2024-04-08,1416.1,deposit,branch,2
65,499,2025-04-29,6195.05,transfer,mobile,3
66,980,2025-05-29,243.91,payment,mobile,3
67,611,2024-07-03,2120.62,withdraw,mobile,18
68,685,2023-11-08,2705.28,payment,mobile,18
69,324,2025-02-14,1035.23,deposit,mobile,2
70,749,2025-09-15,2895.31,deposit,mobile,4
71,709,2025-06-27,2590.16,deposit,atm,12
72,282,2024-11-05,4042.47,transfer,atm,13
73,700,2025-06-11,3055.01,withdraw,online,5
74,405,2025-07-27,1817.36,withdraw,online,10
75,84,2025-01-31,258.59,deposit,online,9
76,368,2024-09-14,1985.49,transfer,online,7
77,558,2025-01-22,1125.06,payment,atm,8
78,959,2024-06-10,2238.74,deposit,online,2
79,989,2024-04-15,2816.26,transfer,branch,17
80,471,2025-08-14,3431.01,deposit,online,13
81,581,2024-09-11,3143.63,deposit,mobile,6
82,357,2024-10-24,649.08,deposit,branch,8
83,391,2025-05-14,3193.98,withdraw,atm,4
84,988,2024-03-14,1804.97,payment,branch,19
85,511,2024-12-08,699.43,deposit,atm,18
86,542,2024-04-06,4176.01,withdraw,mobile,16
87,411,2025-08-31,1260.07,payment,atm,15
88,886,2024-07-02,1548.59,payment,atm,16
89,504,2025-05-11,2304.63,payment,mobile,16
90,571,2025-09-06,3882.72,transfer,atm,10
91,202,2024-05-20,98.06,payment,branch,17
92,836,2024-12-15,2159.71,payment,online,15
93,153,2024-10-22,2206.42,deposit,mobile,19
94,804,2024-05-13,728.82,deposit,mobile,2
95,104,2023-11-22,1670.67,withdraw,atm,17
96,418,2023-10-21,2264.46,transfer,mobile,9
97,141,2025-09-14,2770.18,deposit,atm,17
98,575,2024-09-16,663.38,deposit,online,16
99,175,2025-02-11,3960.96,deposit,atm,15
100,100,2023-12-19,572.04,payment,online,4
101,914,2024-09-01,2307.27,deposit,branch,2
102,701,2024-07-22,1612.11,transfer,online,19
103,902,2024-01-26,2600.8,transfer,mobile,1
104,453,2024-08-23,2059.73,transfer,online,6
105,1000,2025-03-15,2590.42,transfer,atm,12
106,592,2025-03-03,1368.76,transfer,atm,10
107,89,2024-01-17,1425.4,transfer,branch,19
108,313,2025-10-01,964.67,deposit,online,7
109,206,2024-12-19,3333.89,payment,atm,19
110,179,2024-02-27,4321.65,withdraw,online,16
111,840,2024-08-09,2083.7,withdraw,mobile,11
112,901,2024-08-31,1232.28,transfer,online,17
113,902,2024-07-17,3461.3,withdraw,mobile,1
114,318,2023-12-31,957.87,withdraw,online,9
115,19,2024-10-15,1387.6,withdraw,atm,7
116,452,2024-10-25,2254.1,deposit,mobile,7
117,591,2024-12-08,2316.61,payment,branch,18
118,831,2023-10-20,1567.55,withdraw,mobile,8
119,218,2024-06-17,2485.9,withdraw,branch,5
120,412,2024-07-05,1949.2,withdraw,mobile,5
121,82,2023-11-15,1228.69,transfer,mobile,12
122,583,2025-04-08,4041.83,transfer,atm,10
123,98,2025-02-12,96.94,payment,online,10
124,166,2023-11-19,1846.35,withdraw,branch,11
125,439,2024-08-18,1899.94,withdraw,online,12
126,403,2025-07-28,2222.83,payment,atm,15
127,834,2024-04-02,3427.89,payment,branch,9
128,443,2025-02-04,3216.41,payment,atm,2
129,413,2024-02-16,4586.4,transfer,branch,19
130,560,2024-07-18,826.93,deposit,atm,4
131,610,2024-12-14,1395.89,deposit,mobile,13
132,68,2024-08-16,1830.07,transfer,mobile,9
133,164,2024-02-11,2909.49,payment,online,6
134,176,2024-07-03,3750.93,withdraw,mobile,10
135,370,2025-09-06,998.76,payment,atm,15
136,271,2024-10-21,3405.71,payment,mobile,9
137,923,2024-04-22,2018.97,deposit,atm,9
138,170,2025-09-08,1895.89,withdraw,online,13
139,680,2025-01-05,3271.38,transfer,online,15
140,575,2024-06-23,2614.96,deposit,mobile,14
141,69,2023-10-09,832.26,withdraw,branch,1
142,331,2025-07-18,252.93,payment,branch,16
143,503,2025-03-11,2489.45,transfer,online,13
144,504,2024-05-02,2543.04,withdraw,atm,10
145,870,2025-02-15,3042.99,withdraw,online,19
146,494,2024-10-29,3064.75,withdraw,mobile,9
147,509,2023-10-16,3287.57,deposit,online,1
148,694,2024-09-28,4836.65,deposit,mobile,18
149,568,2024-07-11,1495.53,withdraw,atm,6
150,680,2025-01-30,3635.14,payment,branch,11
151,549,2025-09-13,1524.28,transfer,branch,11
152,698,2025-03-24,3675.95,deposit,mobile,4
153,214,2024-08-20,1171.54,withdraw,online,4
154,988,2025-09-10,2004.91,transfer,mobile,3
155,974,2024-04-17,1965.55,withdraw,branch,16
156,925,2024-07-16,1815.51,deposit,mobile,10
157,860,2024-12-10,2948.45,deposit,atm,19
158,803,2025-09-04,2408.06,payment,mobile,1
159,196,2025-01-02,1875.05,withdraw,atm,13
160,311,2025-09-10,2935.71,withdraw,online,5
161,548,2023-10-29,336.61,withdraw,atm,16
162,97,2025-08-29,3738.84,deposit,mobile,9
163,6,2024-09-30,2210.25,withdraw,mobile,5
164,426,2024-01-05,5582.31,transfer,mobile,12
165,471,2025-01-02,836.76,transfer,branch,9
166,285,2025-02-03,733.79,transfer,mobile,13
167,672,2024-12-04,755.58,transfer,mobile,17
168,247,2023-11-25,2892.58,payment,mobile,2
169,485,2024-04-02,2134.53,withdraw,branch,1
170,414,2024-08-17,4093.57,deposit,branch,11
171,416,2023-10-08,1662.78,withdraw,atm,19
172,932,2025-06-29,2509.96,withdraw,mobile,10
173,540,2025-08-03,922.05,transfer,branch,19
174,118,2025-02-18,1388.32,transfer,branch,8
175,363,2025-05-13,510.53,withdraw,mobile,19
176,195,2024-11-15,3695.4,withdraw,online,15
177,449,2024-05-17,1258.53,deposit,branch,1
178,930,2025-01-12,725.86,deposit,online,15
179,205,2024-02-17,1949.36,deposit,mobile,7
180,640,2024-12-25,4317.73,payment,branch,17
181,71,2025-01-10,2350.11,transfer,atm,17
182,103,2024-08-08,1490.02,deposit,mobile,17
183,574,2024-07-15,5144.95,deposit,atm,16
184,25,2024-09-22,665.64,withdraw,online,9
185,632,2025-01-30,1730.2,withdraw,online,9
186,499,2023-12-10,3950.56,payment,atm,9
187,199,2024-08-25,416.9,withdraw,mobile,13
188,783,2025-09-12,1756.42,transfer,atm,14
189,542,2024-11-20,923.54,payment,branch,6
190,716,2025-06-10,1192.34,transfer,mobile,8
191,292,2023-11-06,2185.53,deposit,mobile,18
192,834,2024-04-04,3416.05,deposit,mobile,15
193,532,2025-01-07,706.55,withdraw,branch,8
194,59,2024-03-04,1173.54,transfer,branch,4
195,507,2023-11-01,1456.93,transfer,atm,11
196,898,2024-12-05,1844.11,withdraw,online,17
197,905,2025-04-03,2322.24,deposit,online,8
198,201,2023-11-19,3815.61,withdraw,branch,5
199,368,2024-12-15,2901.36,withdraw,online,17
200,355,2024-10-18,2748.89,deposit,atm,12
201,541,2025-02-22,3893.65,transfer,online,6
202,925,2024-11-10,678.63,withdraw,mobile,16
203,727,2025-06-19,486.02,withdraw,online,10
204,485,2025-09-15,4387.77,deposit,branch,10
205,844,2023-12-13,4171.17,withdraw,online,8
206,616,2025-03-08,1738.34,transfer,mobile,8
207,237,2025-08-29,1555.39,payment,branch,12
208,395,2024-10-01,313.32,transfer,online,17
209,730,2025-02-12,910.69,withdraw,atm,18
210,318,2023-12-06,3823.14,payment,mobile,6
211,505,2025-02-05,2117.97,withdraw,mobile,1
212,990,2023-12-16,1936.61,deposit,online,14
213,781,2024-03-11,3247.27,withdraw,atm,15
214,207,2025-02-04,2596.0,payment,online,6
215,984,2025-03-09,2312.53,payment,mobile,8
216,769,2025-04-25,1353.39,deposit,atm,6
217,893,2025-03-24,1600.84,deposit,online,14
218,690,2025-01-16,2589.85,payment,branch,14
219,699,2025-06-17,4071.95,transfer,online,13
220,230,2024-03-27,2124.56,withdraw,branch,8
221,331,2024-11-17,2710.38,withdraw,online,12
222,299,2025-04-08,3074.01,deposit,atm,10
223,451,2025-07-02,1883.2,deposit,atm,11
224,699,2024-07-20,1395.45,deposit,atm,11
225,926,2025-01-15,3298.12,transfer,branch,6
226,415,2025-01-16,425.34,withdraw,online,18
227,433,2024-01-16,2464.17,transfer,atm,16
228,709,2025-03-28,3309.18,deposit,mobile,10
229,339,2025-03-26,2173.87,transfer,atm,11
230,450,2024-05-16,2028.68,withdraw,mobile,11
231,665,2024-03-09,2599.84,payment,atm,14
232,994,2025-08-30,320.83,transfer,online,5
233,191,2024-10-17,2750.61,deposit,branch,11
234,288,2024-08-26,3062.28,transfer,mobile,18
235,155,2024-10-08,729.31,transfer,atm,12
236,645,2025-06-11,3778.0,transfer,mobile,9
237,182,2024-05-10,1109.02,payment,atm,4
238,193,2024-01-22,1417.63,transfer,online,12
239,406,2024-10-19,4384.47,deposit,branch,14
240,434,2024-11-16,1362.83,payment,branch,16
241,929,2023-10-12,3864.99,payment,online,6
242,643,2024-06-23,3024.77,payment,online,13
243,973,2025-09-08,3421.01,withdraw,online,11
244,968,2025-08-22,2359.73,payment,online,11
245,150,2025-07-13,1544.18,withdraw,branch,17
246,640,2024-01-23,2213.09,payment,online,16
247,942,2023-11-28,643.26,deposit,atm,15
248,952,2025-06-22,2747.25,payment,atm,9
249,931,2024-02-28,1276.15,deposit,atm,8
250,207,2024-10-06,1236.17,transfer,mobile,14
251,276,2024-08-16,1015.85,payment,mobile,17
252,64,2024-04-01,322.92,withdraw,branch,19
253,494,2025-07-28,1200.46,payment,branch,2
254,763,2025-01-11,1786.77,payment,branch,6
255,728,2024-12-10,42.66,payment,atm,14
256,192,2025-03-20,1444.62,payment,mobile,10
257,39,2025-07-30,302.03,deposit,online,4
258,101,2023-11-03,440.13,withdraw,branch,4
259,223,2024-10-26,3021.28,withdraw,mobile,6
260,266,2024-09-28,3800.69,payment,online,14
261,920,2025-06-17,288.35,withdraw,atm,17
262,65,2025-09-06,2937.63,transfer,atm,10
263,825,2025-01-11,804.39,withdraw,mobile,13
264,89,2025-02-16,3179.74,payment,branch,19
265,972,2025-03-16,2578.48,transfer,atm,7
266,525,2025-01-10,2442.48,deposit,online,9
267,40,2025-01-01,578.77,withdraw,mobile,16
268,201,2024-10-31,1400.74,transfer,online,12
269,38,2023-11-05,1490.66,transfer,online,18
270,912,2023-10-27,3242.99,transfer,atm,4
271,187,2024-12-15,1410.13,deposit,mobile,17
272,229,2025-05-27,2413.93,withdraw,atm,13
273,188,2024-06-07,4662.54,payment,online,7
274,72,2024-02-21,1809.15,deposit,mobile,6
275,191,2024-08-18,450.17,withdraw,atm,3
276,237,2024-08-14,2349.02,withdraw,branch,16
277,406,2024-11-02,3658.14,transfer,online,6
278,206,2025-09-17,4247.62,payment,atm,10
279,387,2024-08-14,1634.24,transfer,atm,5
280,702,2025-03-29,2886.7,payment,mobile,9
281,287,2025-06-05,2490.33,transfer,atm,4
282,525,2024-07-28,1630.63,deposit,atm,10
283,626,2024-06-28,1823.24,deposit,branch,4
284,481,2024-11-23,1360.81,deposit,atm,13
285,273,2025-08-06,800.3,transfer,mobile,14
286,328,2024-01-02,1059.77,payment,atm,15
287,699,2025-10-03,2890.58,transfer,branch,18
288,511,2025-08-30,3198.58,deposit,branch,7
289,13,2025-09-09,1368.5,withdraw,branch,13
290,171,2024-11-07,3666.01,deposit,branch,16
291,567,2024-11-05,538.27,transfer,mobile,10
292,364,2024-08-23,2784.2,transfer,mobile,1
293,825,2025-09-16,3439.57,deposit,online,3
294,843,2024-05-05,1737.61,withdraw,online,9
295,800,2025-09-17,2299.01,payment,atm,12
296,321,2024-02-24,927.81,transfer,online,10
297,702,2024-05-25,2118.95,transfer,mobile,1
298,416,2023-12-09,1227.76,withdraw,mobile,8
299,407,2024-12-13,1761.63,withdraw,mobile,13
300,192,2025-02-16,2759.56,transfer,branch,8
301,233,2024-10-08,1261.72,payment,mobile,19
302,450,2025-07-26,30.5,transfer,online,19
303,871,2024-08-25,2834.02,transfer,online,6
304,28,2024-05-03,245.33,withdraw,branch,5
305,371,2025-01-06,633.1,deposit,atm,4
306,58,2025-09-29,2111.43,deposit,online,17
307,105,2025-06-07,1023.75,transfer,branch,3
308,750,2025-02-07,322.7,payment,online,1
309,938,2023-10-10,3195.88,transfer,online,8
310,472,2024-01-11,1440.21,payment,branch,4
311,934,2024-07-14,2388.87,payment,atm,14
312,749,2024-09-25,622.77,deposit,atm,2
313,579,2025-07-27,1775.72,withdraw,mobile,8
314,10,2023-10-07,43.43,transfer,atm,5
315,195,2024-11-14,861.3,withdraw,atm,18
316,852,2024-08-19,4096.84,payment,atm,4
317,87,2024-01-21,1245.94,withdraw,mobile,2
318,670,2025-09-21,1614.0,transfer,branch,17
319,628,2025-04-28,2423.01,deposit,online,6
320,765,2024-10-25,1315.58,transfer,branch,14
321,948,2025-04-07,2930.92,payment,mobile,5
322,70,2025-01-01,3646.47,deposit,atm,16
323,364,2025-10-01,3022.61,withdraw,mobile,3
324,726,2024-04-08,3501.75,payment,atm,3
325,552,2025-03-21,14.14,deposit,online,11
326,573,2025-07-18,847.94,payment,mobile,13
327,693,2025-02-22,766.28,deposit,branch,5
328,585,2025-04-11,1883.46,transfer,online,2
329,449,2024-09-15,3064.44,transfer,online,12
330,844,2024-04-01,3817.74,transfer,branch,13
331,891,2025-10-01,2471.12,deposit,branch,9
332,615,2023-12-03,3908.6,transfer,branch,15
333,674,2024-03-23,1503.67,payment,mobile,15
334,385,2023-12-21,4265.23,deposit,mobile,10
335,694,2025-06-04,2327.84,withdraw,branch,3
336,208,2025-04-12,2531.84,payment,branch,15
337,785,2023-11-25,706.33,deposit,branch,17
338,496,2025-03-07,1236.0,withdraw,mobile,6
339,163,2025-09-29,1333.32,deposit,atm,13
340,753,2024-11-02,438.39,transfer,mobile,3
341,60,2024-01-17,2403.29,withdraw,atm,5
342,986,2023-12-24,4348.61,payment,branch,6
343,571,2024-09-14,2192.69,deposit,mobile,14
344,462,2024-06-16,2063.97,deposit,atm,12
345,887,2023-12-08,3860.3,transfer,online,3
346,337,2024-11-23,2083.64,transfer,atm,4
347,675,2024-06-03,3390.89,payment,online,17
348,327,2025-06-28,1596.49,transfer,branch,1
349,355,2024-09-09,716.86,withdraw,online,14
350,933,2025-09-04,144.33,payment,atm,15
351,836,2025-02-24,1451.52,payment,branch,4
352,429,2024-03-29,2065.62,withdraw,online,13
353,194,2025-06-18,182.64,payment,atm,11
354,159,2024-05-04,2385.91,deposit,atm,13
355,962,2025-04-30,2270.32,deposit,online,3
356,798,2025-09-28,2831.27,withdraw,branch,18
357,882,2024-09-13,1120.36,payment,branch,11
358,382,2024-01-09,4181.67,deposit,atm,5
359,350,2025-08-09,3440.64,withdraw,online,4
360,93,2025-02-16,2168.43,transfer,branch,10
361,146,2025-05-15,2366.74,deposit,mobile,10
362,212,2025-08-25,64.81,withdraw,online,3
363,106,2025-03-27,1886.65,deposit,atm,5
364,416,2025-02-03,2503.53,withdraw,online,6
365,291,2024-01-27,1844.58,payment,atm,11
366,973,2025-01-16,2695.83,transfer,branch,3
367,393,2023-11-16,3979.38,deposit,branch,17
368,251,2024-03-29,3284.73,deposit,mobile,10
369,83,2025-01-04,1764.17,payment,online,2
370,237,2025-09-28,3139.01,payment,online,15
371,25,2024-12-17,2784.93,withdraw,branch,9
372,25,2023-12-05,3040.39,withdraw,atm,16
373,738,2024-03-22,1952.99,deposit,mobile,13
374,903,2025-03-10,1924.93,transfer,mobile,2
375,844,2025-01-04,1534.28,transfer,branch,3
376,187,2024-11-17,333.22,withdraw,online,6
377,953,2023-12-28,1188.0,payment,branch,12
378,700,2024-01-23,3205.51,deposit,online,7
379,758,2024-08-04,80.59,transfer,atm,8
380,263,2023-11-08,2409.14,transfer,atm,14
381,575,2025-04-02,1881.09,withdraw,atm,17
382,63,2023-11-18,1276.62,deposit,mobile,4
383,981,2023-12-17,269.79,transfer,online,14
384,970,2025-01-18,3028.8,transfer,mobile,5
385,797,2025-06-19,753.75,withdraw,online,19
386,461,2025-06-26,42.47,withdraw,mobile,5
387,27,2025-05-02,2119.91,deposit,branch,4
388,898,2024-07-07,3038.9,withdraw,online,16
389,146,2025-06-09,3881.36,deposit,atm,4
390,534,2024-03-15,968.6,payment,online,15
391,932,2023-12-17,3034.92,transfer,mobile,9
392,288,2025-02-19,2408.61,payment,branch,18
393,517,2025-08-22,2578.14,deposit,branch,4
394,989,2024-07-09,1164.97,payment,branch,13
395,810,2024-03-01,2295.08,payment,atm,10
396,478,2024-02-24,1543.69,transfer,online,3
397,441,2025-10-06,4718.86,transfer,mobile,2
398,187,2024-04-12,2139.64,payment,branch,2
399,194,2025-02-27,2855.25,payment,online,14
400,423,2023-12-01,259.78,deposit,atm,11
401,88,2024-12-05,2266.75,payment,atm,15
402,306,2025-09-29,3534.64,payment,atm,17
403,225,2023-11-29,313.7,transfer,online,10
404,711,2024-05-01,1957.05,withdraw,branch,4
405,108,2024-03-05,1834.34,withdraw,atm,11
406,493,2023-11-13,1657.23,transfer,online,3
407,490,2025-02-17,2820.41,deposit,mobile,9
408,374,2025-04-26,1933.46,withdraw,atm,5
409,246,2023-11-22,2340.5,payment,branch,11
410,283,2024-07-05,814.55,deposit,online,2
411,160,2025-06-30,2935.22,payment,mobile,12
412,858,2024-11-14,1953.18,deposit,branch,2
413,688,2023-12-04,2091.05,deposit,atm,4
414,408,2024-12-21,1672.77,withdraw,atm,2
415,671,2025-04-24,1495.57,transfer,online,5
416,156,2025-05-28,3509.23,payment,mobile,7
417,280,2024-08-02,2860.16,deposit,branch,14
418,674,2025-08-23,528.11,payment,branch,12
419,150,2025-04-13,2529.57,payment,branch,14
420,639,2025-01-15,1120.21,payment,mobile,4
421,440,2024-03-13,2766.39,payment,online,18
422,294,2024-09-19,3269.74,transfer,atm,13
423,123,2023-10-21,1037.36,transfer,atm,14
424,710,2023-12-09,1549.55,payment,online,17
425,599,2024-11-28,364.0,payment,atm,12
426,401,2024-10-23,2850.46,deposit,branch,15
427,556,2024-05-19,1087.77,payment,atm,8
428,768,2024-04-10,2344.56,transfer,branch,15
429,43,2024-10-20,442.99,withdraw,branch,8
430,909,2024-06-22,1090.57,transfer,online,3
431,645,2024-09-04,965.96,deposit,atm,2
432,941,2025-03-08,2036.04,deposit,online,8
433,247,2024-12-26,641.26,payment,atm,7
434,566,2025-01-17,1925.11,payment,atm,16
435,611,2024-03-11,1891.55,transfer,branch,15
436,129,2025-06-08,3172.78,deposit,branch,6
437,8,2025-08-06,1049.24,transfer,online,3
438,709,2024-05-12,1521.08,transfer,online,12
439,212,2024-03-28,3242.87,payment,atm,19
440,102,2024-02-05,2983.67,transfer,mobile,11
441,653,2024-09-22,3349.64,payment,online,15
442,949,2024-07-13,2876.39,deposit,branch,11
443,211,2023-12-12,2336.13,withdraw,online,19
444,26,2023-11-15,196.13,transfer,atm,13
445,924,2023-12-06,2807.13,payment,atm,19
446,780,2024-02-14,3442.69,transfer,atm,14
447,779,2024-10-22,3324.65,withdraw,branch,11
448,275,2025-01-03,2570.2,payment,branch,14
449,884,2025-09-19,3096.53,deposit,atm,8
450,328,2025-08-31,145.12,transfer,online,15
451,376,2024-02-09,1160.82,transfer,mobile,5
452,46,2024-07-03,3394.95,deposit,online,16
453,889,2024-06-23,2752.2,transfer,branch,11
454,348,2024-09-25,2223.79,withdraw,mobile,13
455,791,2025-08-09,2925.02,deposit,branch,19
456,865,2025-05-04,111.71,payment,branch,14
457,547,2024-05-11,477.95,deposit,mobile,15
458,622,2025-09-05,1176.8,payment,mobile,19
459,358,2025-06-16,3900.17,payment,branch,6
460,320,2024-07-19,658.67,transfer,mobile,10
461,519,2024-01-31,2480.58,deposit,branch,10
462,441,2025-06-01,2157.28,transfer,online,18
463,742,2025-04-18,1517.61,payment,mobile,2
464,516,2023-11-19,2876.43,deposit,online,11
465,502,2024-12-19,2096.95,withdraw,branch,9
466,189,2024-10-28,1182.73,transfer,online,19
467,292,2024-09-23,1020.54,transfer,online,14
468,377,2024-01-21,2093.77,withdraw,online,16
469,355,2025-09-19,1733.97,payment,mobile,17
470,551,2025-01-04,620.75,payment,branch,16
471,39,2024-03-02,280.47,withdraw,atm,2
472,108,2024-05-30,2014.31,payment,branch,4
473,530,2024-11-04,841.72,deposit,mobile,13
474,390,2023-12-21,1266.48,withdraw,online,8
475,664,2024-09-02,2523.17,transfer,branch,5
476,542,2025-01-29,1038.7,deposit,branch,1
477,970,2024-04-17,1190.08,transfer,branch,7
478,885,2023-11-15,1516.31,payment,branch,18
479,259,2024-10-27,1787.1,withdraw,mobile,1
480,364,2024-10-15,373.36,transfer,atm,11
481,580,2025-07-19,1231.52,withdraw,mobile,2
482,172,2024-01-09,1019.25,transfer,branch,10
483,25,2024-12-06,1636.12,transfer,online,14
484,679,2024-06-06,1959.06,payment,online,19
485,631,2025-05-27,1509.06,withdraw,online,5
486,727,2024-06-14,1977.79,deposit,branch,10
487,251,2025-01-29,1288.99,deposit,atm,15
488,387,2025-01-02,2281.97,transfer,branch,15
489,35,2025-02-10,1846.81,deposit,mobile,19
490,67,2025-08-05,1327.27,payment,online,15
491,900,2025-07-08,3266.65,transfer,online,9
492,828,2025-03-14,5300.87,withdraw,mobile,7
493,15,2025-06-03,2730.04,withdraw,online,17
494,997,2024-06-30,2629.19,payment,mobile,10
495,491,2025-01-05,612.42,deposit,mobile,18
496,12,2025-03-10,4707.53,deposit,mobile,14
497,368,2025-01-15,892.0,transfer,atm,6
498,965,2025-08-29,2599.11,transfer,mobile,18
499,190,2025-06-22,3173.38,withdraw,atm,19
500,56,2025-06-22,526.78,transfer,online,15
501,137,2024-06-14,1566.43,deposit,online,14
502,249,2024-02-20,1922.98,withdraw,online,3
503,922,2023-11-05,3836.23,payment,atm,13
504,269,2024-08-30,2797.91,deposit,mobile,18
505,367,2025-09-01,2484.87,deposit,branch,15
506,831,2024-10-08,384.36,payment,atm,13
507,114,2023-12-19,3759.75,transfer,atm,7
508,309,2025-01-17,3524.5,withdraw,branch,14
509,374,2023-11-03,1907.17,deposit,atm,11
510,887,2024-09-20,4110.1,withdraw,atm,19
511,850,2025-04-10,1274.41,payment,atm,1
512,915,2025-09-15,2990.87,payment,atm,17
513,37,2025-06-13,1045.33,transfer,online,16
514,294,2025-09-28,2509.27,deposit,branch,16
515,540,2025-05-20,841.2,withdraw,online,12
516,439,2025-06-14,3955.0,transfer,branch,8
517,85,2023-11-06,3641.72,transfer,atm,13
518,491,2024-07-18,597.51,withdraw,atm,15
519,225,2025-09-02,672.06,transfer,mobile,12
520,466,2023-11-21,2687.39,payment,atm,15
521,680,2025-04-01,1779.82,payment,online,6
522,347,2025-02-07,3.76,deposit,mobile,13
523,825,2023-10-22,2788.34,payment,mobile,13
524,177,2024-01-03,2993.68,transfer,online,5
525,758,2025-06-29,4171.42,deposit,branch,18
526,297,2024-07-17,230.92,withdraw,atm,6
527,902,2024-06-08,2077.0,payment,atm,3
528,225,2023-11-24,1567.87,payment,atm,18
529,960,2024-12-02,627.91,deposit,atm,1
530,996,2023-12-30,3433.51,deposit,mobile,17
531,508,2024-12-10,2273.52,payment,branch,19
532,919,2025-07-05,825.43,transfer,mobile,16
533,182,2023-10-23,2173.21,transfer,mobile,2
534,848,2023-10-23,2991.97,payment,online,18
535,546,2023-11-05,4414.19,deposit,branch,6
536,864,2025-02-19,357.04,deposit,online,11
537,551,2025-03-27,3099.18,deposit,online,18
538,956,2024-07-30,2899.24,payment,online,9
539,479,2024-09-30,3282.06,payment,mobile,16
540,143,2024-01-31,2724.95,transfer,mobile,5
541,247,2024-08-13,3277.38,transfer,branch,13
542,772,2024-05-13,2674.84,withdraw,mobile,10
543,189,2024-06-04,2779.4,payment,atm,14
544,768,2024-02-25,1563.3,deposit,branch,11
545,611,2025-02-18,1528.64,deposit,branch,9
546,308,2023-11-21,364.51,transfer,branch,7
547,808,2025-09-05,151.6,deposit,atm,18
548,788,2025-05-18,327.45,payment,atm,17
549,493,2024-07-30,3433.72,transfer,online,10
550,375,2023-12-22,3073.58,withdraw,atm,3
551,594,2024-12-26,1223.67,deposit,atm,19
552,894,2023-10-08,780.13,transfer,branch,16
553,384,2024-08-03,1716.84,deposit,online,3
554,183,2025-01-22,2893.02,withdraw,mobile,19
555,870,2025-07-12,1771.81,deposit,mobile,16
556,111,2025-08-23,2068.09,withdraw,online,19
557,584,2024-04-02,2218.01,transfer,branch,17
558,703,2024-03-25,1089.31,deposit,mobile,7
559,155,2023-11-10,1159.22,withdraw,online,18
560,215,2024-02-27,3059.18,withdraw,mobile,17
561,686,2025-06-06,2192.59,transfer,branch,2
562,284,2024-10-25,4655.04,transfer,atm,6
